Category: All categories

Week,IST:ISDMR: (Türkiye),IST:BAGFS: (Türkiye)
2016-06-05,25,0
2016-06-12,13,17
2016-06-19,22,17
2016-06-26,29,8
2016-07-03,17,12
2016-07-10,11,5
2016-07-17,19,16
2016-07-24,16,16
2016-07-31,7,17
2016-08-07,15,20
2016-08-14,16,10
2016-08-21,28,4
2016-08-28,29,11
2016-09-04,21,14
2016-09-11,11,7
2016-09-18,23,16
2016-09-25,16,14
2016-10-02,38,10
2016-10-09,19,14
2016-10-16,24,22
2016-10-23,6,22
2016-10-30,23,14
2016-11-06,12,21
2016-11-13,21,4
2016-11-20,0,18
2016-11-27,11,23
2016-12-04,39,18
2016-12-11,29,19
2016-12-18,23,12
2016-12-25,19,26
2017-01-01,15,24
2017-01-08,20,28
2017-01-15,28,47
2017-01-22,10,46
2017-01-29,54,42
2017-02-05,45,41
2017-02-12,38,21
2017-02-19,37,19
2017-02-26,29,5
2017-03-05,33,13
2017-03-12,12,15
2017-03-19,28,11
2017-03-26,36,10
2017-04-02,36,8
2017-04-09,25,8
2017-04-16,19,3
2017-04-23,25,18
2017-04-30,16,14
2017-05-07,18,17
2017-05-14,16,18
2017-05-21,27,16
2017-05-28,15,11
2017-06-04,30,9
2017-06-11,40,30
2017-06-18,42,21
2017-06-25,59,0
2017-07-02,41,13
2017-07-09,41,18
2017-07-16,31,5
2017-07-23,30,13
2017-07-30,26,17
2017-08-06,20,11
2017-08-13,7,6
2017-08-20,18,8
2017-08-27,20,0
2017-09-03,18,8
2017-09-10,5,17
2017-09-17,0,4
2017-09-24,20,14
2017-10-01,26,11
2017-10-08,26,11
2017-10-15,28,13
2017-10-22,24,9
2017-10-29,24,26
2017-11-05,8,13
2017-11-12,19,14
2017-11-19,15,8
2017-11-26,14,8
2017-12-03,28,8
2017-12-10,14,14
2017-12-17,17,14
2017-12-24,50,24
2017-12-31,28,16
2018-01-07,29,20
2018-01-14,31,12
2018-01-21,40,19
2018-01-28,28,11
2018-02-04,37,18
2018-02-11,15,17
2018-02-18,28,22
2018-02-25,14,34
2018-03-04,26,25
2018-03-11,37,18
2018-03-18,73,18
2018-03-25,58,13
2018-04-01,100,5
2018-04-08,57,21
2018-04-15,65,20
2018-04-22,65,0
2018-04-29,57,13
2018-05-06,61,14
2018-05-13,82,0
2018-05-20,79,15
2018-05-27,100,22
2018-06-03,56,35
2018-06-10,51,9
2018-06-17,54,11
2018-06-24,66,26
2018-07-01,68,32
2018-07-08,47,20
2018-07-15,67,17
2018-07-22,50,13
2018-07-29,56,12
2018-08-05,86,10
2018-08-12,69,16
2018-08-19,27,9
2018-08-26,45,6
2018-09-02,83,17
2018-09-09,61,6
2018-09-16,72,19
2018-09-23,70,28
2018-09-30,23,20
2018-10-07,55,26
2018-10-14,48,22
2018-10-21,56,10
2018-10-28,67,12
2018-11-04,57,19
2018-11-11,48,22
2018-11-18,41,12
2018-11-25,41,20
2018-12-02,46,20
2018-12-09,43,5
2018-12-16,47,19
2018-12-23,55,20
2018-12-30,39,12
2019-01-06,39,11
2019-01-13,43,10
2019-01-20,41,23
2019-01-27,53,28
2019-02-03,54,28
2019-02-10,32,12
2019-02-17,47,26
2019-02-24,61,42
2019-03-03,52,30
2019-03-10,24,16
2019-03-17,50,16
2019-03-24,51,7
2019-03-31,49,8
2019-04-07,40,21
2019-04-14,48,34
2019-04-21,27,30
2019-04-28,24,20
2019-05-05,60,14
2019-05-12,55,26
2019-05-19,39,17
2019-05-26,45,22
2019-06-02,28,0
2019-06-09,39,11
2019-06-16,39,17
2019-06-23,37,25
2019-06-30,36,21
2019-07-07,35,20
2019-07-14,29,18
2019-07-21,31,16
2019-07-28,35,35
2019-08-04,61,37
2019-08-11,25,14
2019-08-18,25,48
2019-08-25,24,52
2019-09-01,27,68
2019-09-08,39,48
2019-09-15,32,35
2019-09-22,39,26
2019-09-29,35,47
2019-10-06,59,26
2019-10-13,54,31
2019-10-20,45,21
2019-10-27,36,64
2019-11-03,67,47
2019-11-10,35,50
2019-11-17,38,48
2019-11-24,40,49
2019-12-01,30,44
2019-12-08,72,36
2019-12-15,53,33
2019-12-22,33,62
2019-12-29,27,36
