Category: All categories

Month,IST:SISE: (Türkiye),IST:TKFEN: (Türkiye)
2013-01,12,0
2013-02,10,3
2013-03,5,0
2013-04,11,4
2013-05,7,2
2013-06,6,1
2013-07,12,2
2013-08,5,2
2013-09,4,3
2013-10,7,5
2013-11,9,9
2013-12,3,4
2014-01,4,4
2014-02,6,3
2014-03,11,4
2014-04,10,3
2014-05,7,0
2014-06,13,4
2014-07,9,7
2014-08,7,9
2014-09,4,4
2014-10,4,5
2014-11,6,7
2014-12,5,3
2015-01,7,4
2015-02,7,3
2015-03,9,5
2015-04,7,6
2015-05,7,9
2015-06,5,13
2015-07,4,6
2015-08,6,3
2015-09,6,5
2015-10,5,5
2015-11,6,4
2015-12,7,2
2016-01,5,6
2016-02,6,5
2016-03,8,12
2016-04,9,6
2016-05,6,8
2016-06,6,5
2016-07,5,4
2016-08,4,10
2016-09,6,7
2016-10,9,10
2016-11,0,11
2016-12,0,5
2017-01,1,5
2017-02,0,6
2017-03,0,4
2017-04,0,5
2017-05,0,4
2017-06,0,2
2017-07,1,4
2017-08,1,6
2017-09,1,3
2017-10,1,4
2017-11,1,7
2017-12,0,6
2018-01,0,6
2018-02,1,8
2018-03,0,5
2018-04,0,5
2018-05,1,0
2018-06,0,3
2018-07,4,5
2018-08,4,6
2018-09,7,4
2018-10,26,5
2018-11,19,6
2018-12,17,4
2019-01,18,9
2019-02,16,5
2019-03,18,4
2019-04,17,11
2019-05,19,4
2019-06,33,8
2019-07,44,5
2019-08,53,15
2019-09,48,29
2019-10,59,31
2019-11,76,36
2019-12,100,43
