Category: All categories

Month,IST:TCELL: (Türkiye),IST:GUBRF: (Türkiye)
2013-01,11,16
2013-02,13,29
2013-03,11,34
2013-04,20,30
2013-05,28,20
2013-06,8,7
2013-07,19,31
2013-08,26,24
2013-09,22,22
2013-10,15,29
2013-11,11,30
2013-12,7,28
2014-01,10,29
2014-02,9,26
2014-03,5,16
2014-04,13,33
2014-05,4,16
2014-06,5,22
2014-07,19,8
2014-08,17,22
2014-09,10,13
2014-10,7,15
2014-11,10,17
2014-12,6,16
2015-01,13,18
2015-02,31,14
2015-03,37,29
2015-04,44,26
2015-05,17,20
2015-06,17,12
2015-07,10,35
2015-08,18,22
2015-09,20,28
2015-10,11,22
2015-11,7,34
2015-12,5,27
2016-01,7,54
2016-02,3,53
2016-03,16,100
2016-04,11,71
2016-05,3,73
2016-06,3,49
2016-07,6,39
2016-08,11,43
2016-09,7,35
2016-10,7,53
2016-11,4,54
2016-12,2,54
2017-01,22,66
2017-02,18,63
2017-03,29,53
2017-04,28,43
2017-05,44,66
2017-06,43,45
2017-07,31,59
2017-08,25,61
2017-09,27,58
2017-10,25,51
2017-11,36,57
2017-12,31,54
2018-01,37,67
2018-02,26,44
2018-03,0,63
2018-04,0,39
2018-05,0,32
2018-06,12,31
2018-07,28,46
2018-08,46,22
2018-09,42,28
2018-10,0,46
2018-11,0,39
2018-12,2,53
2019-01,0,42
2019-02,0,42
2019-03,7,41
2019-04,0,35
2019-05,0,36
2019-06,0,42
2019-07,3,66
2019-08,0,66
2019-09,0,58
2019-10,0,58
2019-11,0,52
2019-12,6,64
