number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boost_from_average,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_iterations,params_num_leaves,params_objective,state
0,0.016091326353850507,2023-12-31 20:39:29.020797,2023-12-31 20:43:47.431383,0 days 00:04:18.410586,0.7661505048284494,True,dart,0.9235832706586538,8.116760233134114,2.1596402188879506e-08,0.017451165783280074,8,63,239,222,mape,COMPLETE
1,0.016830721250473118,2023-12-31 20:43:47.432404,2023-12-31 20:46:37.695979,0 days 00:02:50.263575,0.7933144813085115,True,gbdt,0.8109262163052546,0.0004027326420035557,0.4287647758582228,0.07927335733064181,5,44,474,52,regression,COMPLETE
2,0.01635095099469314,2023-12-31 20:46:37.697152,2023-12-31 20:55:18.758630,0 days 00:08:41.061478,0.9906358184525541,True,rf,0.7098008921689998,2.6565238898279947e-05,0.0009131313907297755,0.10322765155074966,7,58,734,33,regression,COMPLETE
3,0.01610891282964772,2023-12-31 20:55:18.759589,2023-12-31 20:57:40.409042,0 days 00:02:21.649453,0.9789933671799598,False,gbdt,0.43252474740015795,1.5427236064447507e-08,1.875270069649761,0.022219822810082425,8,14,293,23,mape,COMPLETE
4,0.018184530655980573,2023-12-31 20:57:40.409979,2023-12-31 21:02:11.921540,0 days 00:04:31.511561,0.7700336390492442,True,gbdt,0.640446379996461,5.652835617546432e-06,1.5489618206917007e-07,0.10520096251886198,6,19,717,199,regression,COMPLETE
5,0.01607770956897154,2023-12-31 21:02:11.922521,2023-12-31 21:02:52.341467,0 days 00:00:40.418946,0.6230356566731139,True,rf,0.977888157809208,3.4065623028418623,0.10784644109043155,0.05076044961651507,7,15,190,148,regression,COMPLETE
6,0.016292543933134555,2023-12-31 21:02:52.342426,2023-12-31 21:08:06.297926,0 days 00:05:13.955500,0.5742326212369602,True,dart,0.7841372527866477,4.698605814119956e-05,0.015324106175279463,0.13266012342402617,6,9,420,193,regression_l1,COMPLETE
7,0.016144018175047962,2023-12-31 21:08:06.298837,2023-12-31 21:10:54.277756,0 days 00:02:47.978919,0.5144403062859584,False,gbdt,0.7831585226503079,0.03398133214713593,0.0005963336866860556,0.08488867057268393,7,59,250,101,mape,COMPLETE
8,0.017109982943955368,2023-12-31 21:10:54.278709,2023-12-31 21:16:37.156530,0 days 00:05:42.877821,0.6479827423450937,True,gbdt,0.7353469798236931,2.1359133735995914e-05,0.02841612995108218,0.0813786552027005,8,59,682,227,regression,COMPLETE
9,0.016079152367606864,2023-12-31 21:16:37.157519,2023-12-31 21:21:43.636852,0 days 00:05:06.479333,0.5274326584198947,False,gbdt,0.635640715497272,3.7836218260151544e-05,0.0011538144265954068,0.1307238988888538,8,64,521,42,regression_l1,COMPLETE
